"","ResponseId","Employment","LearnCode","YearsCode","Gender","WorkExp","EdLevel","Country","Age","Ethnicity"
"66",66,"Employed","Online Course","3","Man",2,"Bachelor degree","India","18-24 years old","Indian"
"67",67,"Employed","University","25","Man",20,"Master's degree","Brazil","45-54 years old","Multiracial"
"70",70,"Employed","University","17","Man",15,"Other","Uruguay","35-44 years old","European"
"73",73,"Employed","Other","24","Man",22,"Associate degree","United States of America","45-54 years old","White"
"74",74,"Employed","Online Course","10","Man",5,"Bachelor degree","Germany","18-24 years old","European"
"77",77,"Employed","University","24","Man",27,"Master's degree","United States of America","35-44 years old","White"
"79",79,"Employed","University","6","Man",1,"Bachelor degree","Serbia","25-34 years old","Multiracial"
"80",80,"Employed","University","16","Man",10,"Master's degree","France","25-34 years old","Multiracial"
"84",84,"Employed","University","29","Man",22,"Other","Uruguay","35-44 years old","Multiracial"
"85",85,"Employed","University","12","Man",7,"Bachelor degree","United Kingdom of Great Britain and Northern Ireland","25-34 years old","White"
"86",86,"Employed","University","10","Man",7,"Bachelor degree","United States of America","25-34 years old","White"
"88",88,"Employed","Online Course","13","Man",9,"Bachelor degree","Spain","25-34 years old","Multiracial"
"90",90,"Employed","University","16","Man",6,"Bachelor degree","Sweden","25-34 years old","European"
"91",91,"Employed","University","5","Man",9,"Master's degree","France","25-34 years old","Multiracial"
"92",92,"Employed","University","30","Man",19,"Master's degree","France","35-44 years old","European"
"94",94,"Employed","University","9","Woman",5,"Master's degree","United States of America","25-34 years old","Multiracial"
"97",97,"Employed","Online Course","6","Man",7,"Bachelor degree","Israel","35-44 years old","Multiracial"
"98",98,"Other","University","26","Man",22,"Other","United States of America","35-44 years old","White"
"102",102,"Employed","University","6","Man",1,"Master's degree","Germany","25-34 years old","European"
"103",103,"Employed","University","7","Other",4,"Bachelor degree","United Kingdom of Great Britain and Northern Ireland","25-34 years old","Multiracial"
"106",106,"Employed","Online Course","6","Man",10,"Bachelor degree","Italy","25-34 years old","European"
"108",108,"Employed","University","7","Man",13,"Other","United States of America","25-34 years old","White"
"110",110,"Employed","University","10","Man",8,"Other","Spain","25-34 years old","European"
"112",112,"Employed","University","17","Man",10,"Bachelor degree","United Kingdom of Great Britain and Northern Ireland","25-34 years old","White"
"113",113,"Employed","University","32","Man",20,"Master's degree","Poland","35-44 years old","European"
"114",114,"Employed","University","27","Man",30,"Master's degree","United States of America","45-54 years old","White"
"115",115,"Employed","Online Course","14","Man",12,"Secondary school","Uruguay","35-44 years old","Multiracial"
"116",116,"Employed","University","7","Man",3,"Bachelor degree","United States of America","18-24 years old","White"
"118",118,"Employed","Other","32","Man",28,"Other","United States of America","45-54 years old","Multiracial"
"120",120,"Employed","University","20","Man",14,"Bachelor degree","Finland","35-44 years old","European"
"121",121,"Employed","University","7","Man",4,"Bachelor degree","Canada","25-34 years old","White"
"122",122,"Employed","University","4","Woman",5,"Master's degree","Sweden","25-34 years old","White"
"123",123,"Employed","University","7","Man",3,"Bachelor degree","Romania","18-24 years old","White"
"124",124,"Employed","University","15","Man",15,"Secondary school","Italy","25-34 years old","European"
"127",127,"Employed","University","12","Man",5,"Bachelor degree","Canada","25-34 years old","Multiracial"
"133",133,"Employed","Online Course","5","Man",5,"Bachelor degree","United States of America","25-34 years old","White"
"135",135,"Employed","University","Less than 1 year","Woman",1,"Bachelor degree","Brazil","25-34 years old","Multiracial"
"138",138,"Employed","Online Course","8","Woman",1,"Master's degree","Netherlands","25-34 years old","European"
"139",139,"Employed","University","12","Woman",10,"Bachelor degree","Israel","25-34 years old","Other"
"141",141,"Employed","Bootcamp","13","Man",12,"Bachelor degree","India","25-34 years old","Indian"
"144",144,"Employed","Other","20","Man",15,"Other","Uruguay","35-44 years old","Multiracial"
"145",145,"Employed","University","7","Man",1,"Bachelor degree","Canada","18-24 years old","White"
"149",149,"Employed","University","6","Woman",5,"Master's degree","France","25-34 years old","Multiracial"
"152",152,"Employed","Online Course","12","Man",12,"Bachelor degree","India","25-34 years old","Multiracial"
"154",154,"Employed","University","15","Man",11,"Master's degree","United States of America","25-34 years old","Multiracial"
"155",155,"Employed","University","14","Man",7,"Bachelor degree","United Kingdom of Great Britain and Northern Ireland","25-34 years old","White"
"158",158,"Employed","Bootcamp","1","Woman",4,"Bachelor degree","Chile","25-34 years old","Multiracial"
"159",159,"Employed","University","10","Man",7,"Doctoral degree","Germany","25-34 years old","Multiracial"
"161",161,"Employed","University","10","Woman",3,"Bachelor degree","Netherlands","25-34 years old","European"
"163",163,"Employed","Online Course","3","Man",12,"Associate degree","India","25-34 years old","Indian"
"165",165,"Employed","Other","29","Man",15,"Bachelor degree","United States of America","35-44 years old","Multiracial"
"168",168,"Employed","University","7","Man",6,"Master's degree","United Kingdom of Great Britain and Northern Ireland","25-34 years old","Multiracial"
"173",173,"Employed","University","30","Man",18,"Bachelor degree","United Kingdom of Great Britain and Northern Ireland","35-44 years old","Multiracial"
"179",179,"Employed","University","8","Man",8,"Other","Poland","25-34 years old","Multiracial"
"180",180,"Employed","Online Course","7","Man",6,"Bachelor degree","India","25-34 years old","Indian"
"182",182,"Employed","University","7","Man",5,"Bachelor degree","Brazil","25-34 years old","Multiracial"
"184",184,"Employed","University","12","Man",7,"Master's degree","United Kingdom of Great Britain and Northern Ireland","25-34 years old","White"
"186",186,"Employed","University","7","Man",2,"Bachelor degree","United Kingdom of Great Britain and Northern Ireland","18-24 years old","White"
"189",189,"Employed","University","12","Man",10,"Associate degree","United Kingdom of Great Britain and Northern Ireland","35-44 years old","White"
"190",190,"Employed","Online Course","3","Woman",8,"Bachelor degree","Israel","25-34 years old","Multiracial"
"192",192,"Employed","University","3","Man",2,"Master's degree","Greece","25-34 years old","European"
"193",193,"Employed","University","14","Man",3,"Bachelor degree","United States of America","18-24 years old","White"
"194",194,"Employed","Online Course","12","Man",1,"Secondary school","United States of America","18-24 years old","Multiracial"
"197",197,"Employed","University","8","Man",5,"Bachelor degree","India","25-34 years old","Indian"
"201",201,"Employed","University","39","Man",27,"Bachelor degree","United States of America","45-54 years old","White"
"202",202,"Employed","University","9","Woman",2,"Bachelor degree","Portugal","25-34 years old","Multiracial"
"203",203,"Employed","University","9","Man",7,"Master's degree","Netherlands","25-34 years old","White"
"204",204,"Employed","University","8","Man",4,"Master's degree","France","25-34 years old","Multiracial"
"205",205,"Employed","University","14","Man",3,"Master's degree","United States of America","25-34 years old","Multiracial"
"206",206,"Employed","University","15","Man",10,"Associate degree","United States of America","25-34 years old","White"
"208",208,"Employed","University","11","Man",8,"Bachelor degree","United Kingdom of Great Britain and Northern Ireland","25-34 years old","Multiracial"
"210",210,"Employed","Online Course","24","Man",20,"Master's degree","United States of America","35-44 years old","Asian"
"211",211,"Employed","University","12","Man",11,"Bachelor degree","United States of America","35-44 years old","Multiracial"
"213",213,"Employed","University","3","Man",1,"Bachelor degree","United Kingdom of Great Britain and Northern Ireland","18-24 years old","White"
"214",214,"Other","University","45","Man",47,"Master's degree","Austria","65 years or older","Multiracial"
"215",215,"Employed","University","8","Man",1,"Bachelor degree","United States of America","18-24 years old","White"
"219",219,"Employed","University","28","Man",15,"Master's degree","France","35-44 years old","European"
"223",223,"Employed","University","20","Man",14,"Bachelor degree","United States of America","35-44 years old","White"
"225",225,"Employed","University","12","Man",7,"Bachelor degree","United Kingdom of Great Britain and Northern Ireland","25-34 years old","Multiracial"
"226",226,"Employed","University","19","Woman",14,"Bachelor degree","United States of America","35-44 years old","White"
"229",229,"Employed","Bootcamp","9","Man",17,"Associate degree","United States of America","35-44 years old","White"
"233",233,"Employed","University","23","Woman",19,"Associate degree","United States of America","35-44 years old","White"
"234",234,"Employed","University","8","Woman",4,"Bachelor degree","United States of America","25-34 years old","Multiracial"
"240",240,"Employed","Online Course","48","Man",46,"Other","United States of America","65 years or older","Multiracial"
"244",244,"Employed","University","24","Man",20,"Master's degree","Germany","35-44 years old","Multiracial"
"248",248,"Employed","University","26","Man",27,"Bachelor degree","United States of America","35-44 years old","White"
"255",255,"Employed","University","12","Man",3,"Other","Canada","18-24 years old","White"
"256",256,"Employed","University","27","Man",22,"Bachelor degree","Sweden","35-44 years old","Other"
"258",258,"Other","University","10","Man",8,"Master's degree","Portugal","25-34 years old","Multiracial"
"259",259,"Employed","University","10","Man",2,"Master's degree","Poland","25-34 years old","European"
"260",260,"Employed","University","9","Man",9,"Bachelor degree","Israel","25-34 years old","White"
"262",262,"Employed","University","7","Man",3,"Bachelor degree","United Kingdom of Great Britain and Northern Ireland","18-24 years old","White"
"263",263,"Employed","University","9","Man",3,"Bachelor degree","Canada","18-24 years old","Other"
"267",267,"Employed","University","7","Man",7,"Master's degree","Czech Republic","25-34 years old","European"
"269",269,"Employed","University","6","Man",3,"Bachelor degree","Kenya","25-34 years old","Multiracial"
"270",270,"Employed","University","13","Man",7,"Bachelor degree","United States of America","25-34 years old","White"
"272",272,"Employed","University","14","Man",7,"Bachelor degree","United Kingdom of Great Britain and Northern Ireland","25-34 years old","White"
"274",274,"Employed","University","38","Man",25,"Bachelor degree","United States of America","45-54 years old","Multiracial"
"275",275,"Employed","University","29","Man",25,"Secondary school","United Kingdom of Great Britain and Northern Ireland","35-44 years old","White"
"276",276,"Employed","Online Course","8","Woman",7,"Secondary school","Israel","25-34 years old","Multiracial"
"277",277,"Employed","University","12","Man",1,"Bachelor degree","United Kingdom of Great Britain and Northern Ireland","18-24 years old","Multiracial"
"278",278,"Employed","University","17","Man",12,"Bachelor degree","Netherlands","25-34 years old","Multiracial"
"279",279,"Employed","University","4","Man",2,"Bachelor degree","United States of America","25-34 years old","Multiracial"
"280",280,"Employed","Online Course","15","Man",15,"Bachelor degree","Brazil","35-44 years old","Multiracial"
"281",281,"Employed","University","24","Man",18,"Bachelor degree","United States of America","35-44 years old","White"
"283",283,"Employed","Online Course","8","Man",1,"Other","Netherlands","18-24 years old","Multiracial"
"284",284,"Employed","University","15","Man",10,"Bachelor degree","United States of America","25-34 years old","White"
"285",285,"Employed","Online Course","8","Man",3,"Secondary school","Italy","25-34 years old","Multiracial"
"292",292,"Employed","University","17","Man",12,"Master's degree","India","25-34 years old","Multiracial"
"293",293,"Employed","University","15","Man",10,"Bachelor degree","Sweden","25-34 years old","European"
"297",297,"Employed","University","12","Man",10,"Master's degree","Canada","25-34 years old","White"
"298",298,"Employed","University","21","Man",15,"Master's degree","Canada","35-44 years old","European"
"299",299,"Employed","University","6","Man",5,"Master's degree","Poland","25-34 years old","European"
"300",300,"Employed","University","10","Man",10,"Bachelor degree","United States of America","25-34 years old","Multiracial"
"302",302,"Employed","Online Course","6","Man",6,"Bachelor degree","India","18-24 years old","Asian"
"308",308,"Employed","University","20","Man",25,"Bachelor degree","United States of America","35-44 years old","White"
"309",309,"Employed","University","9","Man",5,"Bachelor degree","United States of America","25-34 years old","White"
"313",313,"Employed","Bootcamp","3","Man",15,"Bachelor degree","United States of America","35-44 years old","White"
"314",314,"Employed","University","6","Man",14,"Bachelor degree","United States of America","35-44 years old","White"
"316",316,"Employed","University","5","Man",3,"Bachelor degree","United States of America","25-34 years old","White"
"317",317,"Employed","Online Course","18","Man",10,"Other","United States of America","25-34 years old","White"
"318",318,"Employed","University","18","Man",18,"Bachelor degree","United States of America","35-44 years old","White"
"319",319,"Employed","Online Course","5","Man",5,"Primary school","Latvia","25-34 years old","European"
"321",321,"Employed","University","14","Woman",9,"Master's degree","Serbia","25-34 years old","European"
"323",323,"Employed","University","22","Man",19,"Master's degree","United Kingdom of Great Britain and Northern Ireland","35-44 years old","Multiracial"
"324",324,"Employed","University","40","Man",24,"Secondary school","Austria","45-54 years old","European"
"326",326,"Employed","Online Course","18","Man",4,"Bachelor degree","United Kingdom of Great Britain and Northern Ireland","25-34 years old","White"
"327",327,"Employed","University","11","Man",11,"Master's degree","Germany","25-34 years old","European"
"328",328,"Employed","University","22","Man",20,"Bachelor degree","Ireland","35-44 years old","Multiracial"
"329",329,"Employed","University","5","Man",1,"Associate degree","Turkey","18-24 years old","Multiracial"
"330",330,"Employed","University","13","Man",7,"Master's degree","Austria","25-34 years old","European"
"331",331,"Employed","Online Course","14","Man",10,"Other","Canada","25-34 years old","Multiracial"
"332",332,"Employed","University","11","Man",6,"Bachelor degree","United States of America","18-24 years old","White"
"335",335,"Employed","University","16","Man",11,"Master's degree","Portugal","35-44 years old","European"
"337",337,"Employed","University","8","Man",6,"Master's degree","Canada","25-34 years old","White"
"338",338,"Employed","University","5","Man",1,"Bachelor degree","United States of America","18-24 years old","White"
"341",341,"Employed","University","20","Man",28,"Bachelor degree","Ireland","45-54 years old","Multiracial"
"343",343,"Employed","University","30","Man",21,"Bachelor degree","South Africa","35-44 years old","Multiracial"
"347",347,"Employed","Online Course","6","Man",1,"Secondary school","Germany","18-24 years old","European"
"348",348,"Employed","University","17","Man",1,"Master's degree","United States of America","25-34 years old","Other"
"349",349,"Employed","University","10","Man",6,"Bachelor degree","United States of America","25-34 years old","White"
"350",350,"Employed","University","41","Man",27,"Bachelor degree","Canada","45-54 years old","White"
"352",352,"Employed","University","6","Man",3,"Bachelor degree","Austria","25-34 years old","European"
"353",353,"Employed","University","5","Woman",4,"Bachelor degree","Netherlands","45-54 years old","Multiracial"
"354",354,"Employed","University","7","Man",7,"Bachelor degree","Finland","25-34 years old","White"
"357",357,"Employed","Online Course","4","Man",8,"Master's degree","United States of America","25-34 years old","White"
"359",359,"Employed","University","7","Man",3,"Bachelor degree","Thailand","25-34 years old","Multiracial"
"360",360,"Employed","Online Course","38","Man",31,"Doctoral degree","United States of America","45-54 years old","Multiracial"
"361",361,"Employed","University","12","Man",5,"Bachelor degree","China","25-34 years old","Multiracial"
"362",362,"Employed","Online Course","17","Man",11,"Bachelor degree","United States of America","25-34 years old","White"
"363",363,"Employed","Online Course","12","Man",9,"Other","Sweden","25-34 years old","Multiracial"
"364",364,"Employed","Online Course","14","Man",14,"Other","United States of America","35-44 years old","White"
"365",365,"Employed","University","26","Man",20,"Master's degree","United States of America","35-44 years old","Indian"
"366",366,"Employed","University","21","Man",20,"Master's degree","United States of America","35-44 years old","White"
"368",368,"Employed","University","8","Man",4,"Bachelor degree","United States of America","25-34 years old","White"
"369",369,"Employed","University","8","Man",4,"Bachelor degree","United States of America","18-24 years old","Multiracial"
"374",374,"Employed","University","21","Man",19,"Bachelor degree","Brazil","25-34 years old","Multiracial"
"377",377,"Employed","Online Course","10","Man",4,"Other","Serbia","18-24 years old","European"
"381",381,"Employed","University","15","Man",10,"Bachelor degree","United States of America","25-34 years old","Multiracial"
"382",382,"Employed","University","18","Woman",20,"Bachelor degree","United States of America","55-64 years old","White"
"383",383,"Employed","Online Course","10","Man",2,"Other","United States of America","18-24 years old","White"
"384",384,"Employed","University","15","Man",10,"Bachelor degree","United Kingdom of Great Britain and Northern Ireland","25-34 years old","White"
"386",386,"Employed","University","25","Man",23,"Bachelor degree","United States of America","35-44 years old","Multiracial"
"388",388,"Employed","University","12","Man",9,"Bachelor degree","United States of America","25-34 years old","White"
"389",389,"Employed","Online Course","17","Man",12,"Master's degree","United Kingdom of Great Britain and Northern Ireland","25-34 years old","White"
"391",391,"Employed","University","7","Man",5,"Master's degree","France","25-34 years old","European"
"392",392,"Employed","University","24","Man",20,"Bachelor degree","United States of America","35-44 years old","White"
"393",393,"Employed","Online Course","25","Man",19,"Secondary school","Slovakia","35-44 years old","Multiracial"
"394",394,"Employed","University","12","Man",7,"Bachelor degree","Netherlands","25-34 years old","Multiracial"
"396",396,"Other","University","4","Man",0,"Master's degree","Ireland","18-24 years old","Multiracial"
"399",399,"Other","Online Course","33","Man",22,"Other","Montenegro","35-44 years old","Other"
"400",400,"Employed","University","17","Other",14,"Bachelor degree","India","35-44 years old","Indian"
"401",401,"Employed","University","9","Man",5,"Master's degree","France","25-34 years old","Multiracial"
"402",402,"Employed","University","17","Man",13,"Bachelor degree","United States of America","25-34 years old","White"
"405",405,"Employed","University","5","Other",2,"Bachelor degree","United States of America","18-24 years old","White"
"406",406,"Employed","Online Course","18","Man",8,"Bachelor degree","United States of America","25-34 years old","Multiracial"
"407",407,"Employed","Online Course","11","Man",9,"Associate degree","United States of America","18-24 years old","Multiracial"
"408",408,"Employed","University","4","Woman",41,"Other","United States of America","55-64 years old","Multiracial"
"410",410,"Employed","University","12","Man",10,"Other","Serbia","25-34 years old","White"
"411",411,"Employed","University","9","Man",2,"Master's degree","Denmark","25-34 years old","Multiracial"
"412",412,"Employed","Online Course","3","Man",3,"Associate degree","Germany","18-24 years old","European"
"422",422,"Employed","University","10","Man",8,"Bachelor degree","United States of America","35-44 years old","White"
"432",432,"Employed","University","9","Man",6,"Other","Spain","35-44 years old","European"
"433",433,"Employed","University","6","Woman",9,"Bachelor degree","United States of America","25-34 years old","White"
"436",436,"Employed","University","6","Man",1,"Bachelor degree","Germany","25-34 years old","European"
"440",440,"Employed","University","16","Man",12,"Bachelor degree","United Kingdom of Great Britain and Northern Ireland","25-34 years old","White"
"441",441,"Employed","University","11","Man",4,"Bachelor degree","United States of America","25-34 years old","Multiracial"
"442",442,"Employed","University","12","Other",9,"Bachelor degree","United States of America","25-34 years old","White"
"443",443,"Other","Online Course","10","Man",4,"Master's degree","China","35-44 years old","Asian"
"444",444,"Employed","University","11","Man",5,"Doctoral degree","United States of America","25-34 years old","White"
"446",446,"Employed","University","17","Man",10,"Bachelor degree","Spain","35-44 years old","Multiracial"
"448",448,"Employed","University","11","Man",6,"Bachelor degree","United States of America","25-34 years old","Multiracial"
"450",450,"Employed","University","38","Man",28,"Doctoral degree","Germany","45-54 years old","European"
"454",454,"Employed","Online Course","35","Man",43,"Master's degree","United Kingdom of Great Britain and Northern Ireland","55-64 years old","White"
"459",459,"Employed","Online Course","14","Man",7,"Master's degree","Sweden","25-34 years old","Multiracial"
"465",465,"Employed","University","15","Man",6,"Master's degree","Germany","25-34 years old","Multiracial"
"467",467,"Employed","University","12","Man",5,"Bachelor degree","France","25-34 years old","European"
"468",468,"Employed","University","8","Man",2,"Bachelor degree","Canada","25-34 years old","Multiracial"
"469",469,"Employed","Online Course","9","Man",9,"Other","United States of America","25-34 years old","White"
"470",470,"Employed","University","12","Man",3,"Bachelor degree","United Kingdom of Great Britain and Northern Ireland","18-24 years old","White"
"471",471,"Employed","University","8","Man",6,"Master's degree","United States of America","25-34 years old","White"
"473",473,"Employed","University","4","Man",2,"Master's degree","United States of America","25-34 years old","White"
"474",474,"Employed","University","3","Man",3,"Bachelor degree","Netherlands","18-24 years old","Multiracial"
"475",475,"Employed","Online Course","20","Man",12,"Master's degree","United States of America","35-44 years old","Multiracial"
"476",476,"Employed","University","20","Man",19,"Bachelor degree","Australia","35-44 years old","Multiracial"
"479",479,"Employed","University","43","Man",40,"Doctoral degree","United Kingdom of Great Britain and Northern Ireland","55-64 years old","Multiracial"
"486",486,"Employed","Online Course","6","Other",5,"Secondary school","Czech Republic","25-34 years old","Multiracial"
"487",487,"Employed","Online Course","8","Man",1,"Bachelor degree","Viet Nam","18-24 years old","Multiracial"
"488",488,"Employed","University","11","Man",6,"Other","United States of America","18-24 years old","Other"
"489",489,"Employed","University","28","Man",17,"Bachelor degree","United States of America","35-44 years old","White"
"491",491,"Employed","University","8","Man",5,"Master's degree","United States of America","25-34 years old","White"
"493",493,"Employed","University","15","Man",9,"Bachelor degree","United States of America","25-34 years old","White"
"494",494,"Employed","University","11","Man",4,"Bachelor degree","Netherlands","25-34 years old","European"
"495",495,"Employed","University","10","Man",7,"Bachelor degree","Germany","25-34 years old","Multiracial"
"496",496,"Employed","Other","Less than 1 year","Man",10,"Primary school","Turkey","35-44 years old","Multiracial"
"500",500,"Employed","University","11","Man",6,"Bachelor degree","United States of America","25-34 years old","Biracial"
"501",501,"Employed","Online Course","10","Man",16,"Secondary school","United States of America","25-34 years old","White"
"508",508,"Employed","Online Course","4","Man",3,"Bachelor degree","United States of America","25-34 years old","White"
"510",510,"Employed","University","9","Man",3,"Bachelor degree","Canada","25-34 years old","Multiracial"
"511",511,"Employed","University","6","Man",3,"Bachelor degree","United States of America","25-34 years old","White"
"513",513,"Employed","University","14","Man",9,"Master's degree","France","25-34 years old","Multiracial"
"514",514,"Employed","University","10","Man",8,"Bachelor degree","United States of America","25-34 years old","White"
"515",515,"Employed","University","7","Man",6,"Bachelor degree","United States of America","35-44 years old","White"
"516",516,"Employed","Online Course","30","Man",28,"Bachelor degree","Canada","45-54 years old","Multiracial"
"521",521,"Employed","Online Course","12","Man",3,"Bachelor degree","Finland","25-34 years old","Multiracial"
"523",523,"Employed","University","18","Man",15,"Bachelor degree","Belgium","35-44 years old","European"
"525",525,"Employed","University","13","Man",4,"Master's degree","United Kingdom of Great Britain and Northern Ireland","25-34 years old","White"
"529",529,"Employed","Online Course","20","Man",9,"Bachelor degree","United Kingdom of Great Britain and Northern Ireland","25-34 years old","White"
"536",536,"Employed","University","6","Other",1,"Bachelor degree","Canada","18-24 years old","European"
"537",537,"Employed","Online Course","6","Man",6,"Other","United Kingdom of Great Britain and Northern Ireland","25-34 years old","Multiracial"
"538",538,"Employed","University","10","Man",5,"Master's degree","Singapore","25-34 years old","Asian"
"539",539,"Employed","University","15","Man",11,"Master's degree","Portugal","35-44 years old","White"
"540",540,"Employed","Online Course","15","Man",3,"Bachelor degree","United States of America","25-34 years old","Multiracial"
"545",545,"Employed","University","10","Man",4,"Other","Argentina","25-34 years old","Multiracial"
"547",547,"Employed","University","6","Man",2,"Bachelor degree","Hungary","25-34 years old","European"
"548",548,"Employed","University","9","Man",3,"Bachelor degree","United States of America","25-34 years old","Multiracial"
"553",553,"Employed","University","7","Man",4,"Professional degree","Tunisia","25-34 years old","Multiracial"
"554",554,"Employed","University","4","Man",5,"Bachelor degree","United States of America","25-34 years old","White"
"560",560,"Employed","University","22","Man",14,"Master's degree","United States of America","35-44 years old","White"
"561",561,"Employed","Online Course","12","Man",9,"Other","United States of America","25-34 years old","Multiracial"
"562",562,"Employed","University","12","Man",7,"Other","Germany","25-34 years old","European"
"563",563,"Employed","University","6","Man",2,"Bachelor degree","United States of America","25-34 years old","White"
"564",564,"Employed","University","9","Man",5,"Other","France","25-34 years old","Multiracial"
"566",566,"Employed","University","24","Man",22,"Bachelor degree","United States of America","35-44 years old","Multiracial"
"572",572,"Employed","University","7","Man",2,"Bachelor degree","United States of America","18-24 years old","White"
"574",574,"Other","University","20","Man",15,"Doctoral degree","Germany","35-44 years old","Multiracial"
"575",575,"Employed","Online Course","15","Man",10,"Other","Australia","25-34 years old","White"
"577",577,"Employed","University","12","Man",8,"Bachelor degree","Hungary","25-34 years old","Multiracial"
"578",578,"Employed","University","15","Man",11,"Bachelor degree","United States of America","25-34 years old","White"
"580",580,"Employed","Online Course","3","Man",4,"Secondary school","Canada","18-24 years old","Multiracial"
"582",582,"Employed","University","11","Other",3,"Master's degree","France","25-34 years old","Multiracial"
"584",584,"Employed","Online Course","20","Man",15,"Bachelor degree","United Kingdom of Great Britain and Northern Ireland","35-44 years old","White"
"585",585,"Employed","Online Course","14","Man",14,"Master's degree","Germany","25-34 years old","European"
"586",586,"Employed","University","8","Man",4,"Bachelor degree","United States of America","25-34 years old","White"
"587",587,"Employed","Other","25","Man",14,"Master's degree","France","35-44 years old","European"
"588",588,"Employed","University","7","Man",2,"Associate degree","Canada","18-24 years old","White"
"590",590,"Employed","University","6","Other",1,"Bachelor degree","United States of America","25-34 years old","Multiracial"
"593",593,"Employed","University","14","Man",10,"Other","Netherlands","25-34 years old","Multiracial"
"595",595,"Employed","University","16","Man",6,"Master's degree","Denmark","25-34 years old","European"
"597",597,"Employed","University","31","Man",31,"Other","United States of America","55-64 years old","White"
"599",599,"Other","Online Course","6","Man",5,"Bachelor degree","China","25-34 years old","Asian"
"603",603,"Employed","University","15","Man",12,"Other","United States of America","25-34 years old","Multiracial"
"606",606,"Employed","Online Course","8","Man",8,"Other","United Kingdom of Great Britain and Northern Ireland","18-24 years old","White"
"610",610,"Employed","University","12","Woman",4,"Master's degree","United States of America","25-34 years old","White"
"611",611,"Employed","Online Course","17","Man",4,"Bachelor degree","United States of America","18-24 years old","Multiracial"
"612",612,"Employed","University","25","Man",25,"Bachelor degree","United States of America","45-54 years old","Asian"
"613",613,"Employed","University","14","Man",7,"Bachelor degree","United States of America","25-34 years old","White"
"614",614,"Employed","University","7","Man",1,"Master's degree","Switzerland","18-24 years old","Multiracial"
"617",617,"Other","University","29","Man",17,"Master's degree","Czech Republic","35-44 years old","European"
"618",618,"Employed","Online Course","25","Man",20,"Master's degree","United States of America","55-64 years old","White"
"619",619,"Employed","Online Course","21","Man",21,"Bachelor degree","United States of America","35-44 years old","Multiracial"
"620",620,"Employed","University","10","Man",6,"Master's degree","Finland","25-34 years old","Multiracial"
"622",622,"Employed","University","11","Man",7,"Bachelor degree","United States of America","25-34 years old","White"
"623",623,"Employed","Online Course","4","Man",2,"Secondary school","United Kingdom of Great Britain and Northern Ireland","25-34 years old","European"
"633",633,"Employed","University","8","Man",3,"Bachelor degree","United Kingdom of Great Britain and Northern Ireland","18-24 years old","Multiracial"
"634",634,"Employed","University","23","Man",16,"Master's degree","Hungary","35-44 years old","Multiracial"
